layer,result
NDVI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\NDVI.tif
PSRI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\PSRI.tif
REP,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\REP.tif
PRI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\PRI.tif
ARI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\ARI.tif
CRI550,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\CRI550.tif
CRI700,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\CRI700.tif
MCARI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\MCARI.tif
MCARI_OSAVI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\MCARI_OSAVI.tif
WBI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\WBI.tif
WI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\WI.tif
MSI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\MSI.tif
HDWI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\HDWI.tif
NDLI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\NDLI.tif
NDNI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\NDNI.tif
PROTEIN_PROXY_2180_2100,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\PROTEIN_PROXY_2180_2100.tif
CAI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\CAI.tif
LCAI,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\LCAI.tif
ANOMALY_SCORE,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\ANOMALY_SCORE.tif
PC1,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\PC1.tif
PC2,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\PC2.tif
PC3,D:\EDA_VietNam_Hyperspectral\outputs\20250407_035451_00_4001\rasters\PC3.tif
